id,hour_of_day,level,mean_seconds
D7ztGzWsNcXCjkpkH9O7,22,light,1419.0
D7ztGzWsNcXCjkpkH9O7,22,rem,210.0
D7ztGzWsNcXCjkpkH9O7,22,wake,930.0
D7ztGzWsNcXCjkpkH9O7,23,deep,1414.2857142857142
D7ztGzWsNcXCjkpkH9O7,23,light,1313.3333333333333
D7ztGzWsNcXCjkpkH9O7,23,rem,940.0
D7ztGzWsNcXCjkpkH9O7,23,wake,608.18181818181813
DfgE795ypSnZzyuBlNNT,0,deep,1017.2727272727271
DfgE795ypSnZzyuBlNNT,0,light,2177.6190476190486
DfgE795ypSnZzyuBlNNT,0,rem,1147.333333333333
DfgE795ypSnZzyuBlNNT,0,wake,555.00000000000011
DfgE795ypSnZzyuBlNNT,1,deep,1072.3076923076919
DfgE795ypSnZzyuBlNNT,1,light,2365.238095238095
DfgE795ypSnZzyuBlNNT,1,rem,917.27272727272714
DfgE795ypSnZzyuBlNNT,1,wake,475.0
DfgE795ypSnZzyuBlNNT,2,deep,1186.4285714285716
DfgE795ypSnZzyuBlNNT,2,light,2265.2380952380959
DfgE795ypSnZzyuBlNNT,2,rem,835.71428571428555
DfgE795ypSnZzyuBlNNT,2,wake,385.38461538461536
DfgE795ypSnZzyuBlNNT,3,deep,1078.5365853658539
DfgE795ypSnZzyuBlNNT,3,light,2180.8064516129029
DfgE795ypSnZzyuBlNNT,3,rem,847.29729729729729
DfgE795ypSnZzyuBlNNT,3,wake,643.63636363636374
DfgE795ypSnZzyuBlNNT,4,deep,625.71428571428567
DfgE795ypSnZzyuBlNNT,4,light,2356.2295081967222
DfgE795ypSnZzyuBlNNT,4,rem,958.33333333333348
DfgE795ypSnZzyuBlNNT,4,wake,887.30769230769226
DfgE795ypSnZzyuBlNNT,5,deep,721.66666666666674
DfgE795ypSnZzyuBlNNT,5,light,1960.1612903225803
DfgE795ypSnZzyuBlNNT,5,rem,1029.090909090909
DfgE795ypSnZzyuBlNNT,5,wake,1054.6666666666667
DfgE795ypSnZzyuBlNNT,6,deep,894.0
DfgE795ypSnZzyuBlNNT,6,light,1282.9411764705881
DfgE795ypSnZzyuBlNNT,6,rem,786.81818181818187
DfgE795ypSnZzyuBlNNT,6,wake,637.82608695652164
DfgE795ypSnZzyuBlNNT,7,deep,270.0
DfgE795ypSnZzyuBlNNT,7,light,638.57142857142856
DfgE795ypSnZzyuBlNNT,7,rem,720.0
DfgE795ypSnZzyuBlNNT,7,wake,678.75
DfgE795ypSnZzyuBlNNT,22,deep,30.0
DfgE795ypSnZzyuBlNNT,22,light,846.666666666667
DfgE795ypSnZzyuBlNNT,22,wake,392.81250000000006
DfgE795ypSnZzyuBlNNT,23,deep,1069.2000000000003
DfgE795ypSnZzyuBlNNT,23,light,2609.516129032259
DfgE795ypSnZzyuBlNNT,23,rem,572.0
DfgE795ypSnZzyuBlNNT,23,wake,595.86206896551732
EeTSKkNw03amapx06fy9,0,deep,1438.846153846154
EeTSKkNw03amapx06fy9,0,light,1942.8571428571433
EeTSKkNw03amapx06fy9,0,rem,529.41176470588232
EeTSKkNw03amapx06fy9,0,wake,516.0
EeTSKkNw03amapx06fy9,1,deep,989.14285714285722
EeTSKkNw03amapx06fy9,1,light,2416.6666666666665
EeTSKkNw03amapx06fy9,1,rem,868.421052631579
EeTSKkNw03amapx06fy9,1,wake,385.0
EeTSKkNw03amapx06fy9,2,deep,962.79069767441865
EeTSKkNw03amapx06fy9,2,light,2496.6666666666674
EeTSKkNw03amapx06fy9,2,rem,603.33333333333314
EeTSKkNw03amapx06fy9,2,wake,375.88235294117646
EeTSKkNw03amapx06fy9,3,deep,792.41379310344837
EeTSKkNw03amapx06fy9,3,light,2592.8571428571427
EeTSKkNw03amapx06fy9,3,rem,783.48837209302326
EeTSKkNw03amapx06fy9,3,wake,484.28571428571428
EeTSKkNw03amapx06fy9,4,deep,762.85714285714289
EeTSKkNw03amapx06fy9,4,light,2393.4375
EeTSKkNw03amapx06fy9,4,rem,1168.1249999999995
EeTSKkNw03amapx06fy9,4,wake,511.49999999999994
EeTSKkNw03amapx06fy9,5,deep,528.0
EeTSKkNw03amapx06fy9,5,light,2161.9047619047619
EeTSKkNw03amapx06fy9,5,rem,1200.5084745762708
EeTSKkNw03amapx06fy9,5,wake,592.10526315789468
EeTSKkNw03amapx06fy9,6,deep,477.0
EeTSKkNw03amapx06fy9,6,light,2153.7096774193542
EeTSKkNw03amapx06fy9,6,rem,1101.6666666666663
EeTSKkNw03amapx06fy9,6,wake,559.61538461538464
EeTSKkNw03amapx06fy9,7,deep,435.0
EeTSKkNw03amapx06fy9,7,light,1817.3076923076915
EeTSKkNw03amapx06fy9,7,rem,1205.3846153846155
EeTSKkNw03amapx06fy9,7,wake,555.42857142857156
EeTSKkNw03amapx06fy9,8,light,328.42105263157896
EeTSKkNw03amapx06fy9,8,rem,486.42857142857144
EeTSKkNw03amapx06fy9,8,wake,403.33333333333331
EeTSKkNw03amapx06fy9,21,light,780.0
EeTSKkNw03amapx06fy9,21,wake,1020.0
EeTSKkNw03amapx06fy9,22,light,2130.0
EeTSKkNw03amapx06fy9,22,rem,330.0
EeTSKkNw03amapx06fy9,22,wake,1245.0
EeTSKkNw03amapx06fy9,23,deep,789.375
EeTSKkNw03amapx06fy9,23,light,859.99999999999989
EeTSKkNw03amapx06fy9,23,rem,513.33333333333337
EeTSKkNw03amapx06fy9,23,wake,776.181818181818
H7UADUwy3br6HvHTUti0,0,deep,654.0
H7UADUwy3br6HvHTUti0,0,light,1701.4285714285716
H7UADUwy3br6HvHTUti0,0,rem,592.5
H7UADUwy3br6HvHTUti0,0,wake,438.0
H7UADUwy3br6HvHTUti0,1,deep,840.0
H7UADUwy3br6HvHTUti0,1,light,2120.0
H7UADUwy3br6HvHTUti0,1,rem,785.0
H7UADUwy3br6HvHTUti0,1,wake,725.35714285714289
H7UADUwy3br6HvHTUti0,2,deep,750.0
H7UADUwy3br6HvHTUti0,2,light,2289.2307692307686
H7UADUwy3br6HvHTUti0,2,rem,760.0
H7UADUwy3br6HvHTUti0,2,wake,704.99999999999989
H7UADUwy3br6HvHTUti0,3,deep,952.85714285714278
H7UADUwy3br6HvHTUti0,3,light,2287.3584905660373
H7UADUwy3br6HvHTUti0,3,rem,756.56250000000011
H7UADUwy3br6HvHTUti0,3,wake,750.0
H7UADUwy3br6HvHTUti0,4,deep,956.78571428571422
H7UADUwy3br6HvHTUti0,4,light,1995.7894736842102
H7UADUwy3br6HvHTUti0,4,rem,1028.780487804878
H7UADUwy3br6HvHTUti0,4,wake,728.07692307692309
H7UADUwy3br6HvHTUti0,5,deep,1014.7826086956522
H7UADUwy3br6HvHTUti0,5,light,2019.8181818181815
H7UADUwy3br6HvHTUti0,5,rem,1132.1052631578953
H7UADUwy3br6HvHTUti0,5,wake,841.304347826087
H7UADUwy3br6HvHTUti0,6,deep,972.63157894736844
H7UADUwy3br6HvHTUti0,6,light,2020.7547169811321
H7UADUwy3br6HvHTUti0,6,rem,1219.4594594594598
H7UADUwy3br6HvHTUti0,6,wake,694.28571428571445
H7UADUwy3br6HvHTUti0,7,deep,714.0
