id,hour_of_day,mean_hourly_steps
TQxEAP2h7ZW93YKzsM1u,19,301.26
TQxEAP2h7ZW93YKzsM1u,20,130.51
TQxEAP2h7ZW93YKzsM1u,21,64.72
TQxEAP2h7ZW93YKzsM1u,22,22.75
TQxEAP2h7ZW93YKzsM1u,23,2.71
TRoLztbeWobe57Etdnif,0,33.98
TRoLztbeWobe57Etdnif,1,31.37
TRoLztbeWobe57Etdnif,2,32.89
TRoLztbeWobe57Etdnif,3,24.03
TRoLztbeWobe57Etdnif,4,3.83
TRoLztbeWobe57Etdnif,5,6.29
TRoLztbeWobe57Etdnif,6,21.22
TRoLztbeWobe57Etdnif,7,155.86
TRoLztbeWobe57Etdnif,8,527.55
TRoLztbeWobe57Etdnif,9,325.42
TRoLztbeWobe57Etdnif,10,176.25
TRoLztbeWobe57Etdnif,11,160.25
TRoLztbeWobe57Etdnif,12,264.51
TRoLztbeWobe57Etdnif,13,300.42
TRoLztbeWobe57Etdnif,14,808.4
TRoLztbeWobe57Etdnif,15,308.17
TRoLztbeWobe57Etdnif,16,377.52
TRoLztbeWobe57Etdnif,17,415.54
TRoLztbeWobe57Etdnif,18,270.18
TRoLztbeWobe57Etdnif,19,223.58
TRoLztbeWobe57Etdnif,20,254.23
TRoLztbeWobe57Etdnif,21,136.45
TRoLztbeWobe57Etdnif,22,115.2
TRoLztbeWobe57Etdnif,23,65.89
TeawxQVKn8IKZLs0UjoW,0,0.0
TeawxQVKn8IKZLs0UjoW,1,0.0
TeawxQVKn8IKZLs0UjoW,2,0.0
TeawxQVKn8IKZLs0UjoW,3,0.0
TeawxQVKn8IKZLs0UjoW,4,0.0
TeawxQVKn8IKZLs0UjoW,5,0.31
TeawxQVKn8IKZLs0UjoW,6,103.0
TeawxQVKn8IKZLs0UjoW,7,553.22
TeawxQVKn8IKZLs0UjoW,8,1082.97
TeawxQVKn8IKZLs0UjoW,9,1181.05
TeawxQVKn8IKZLs0UjoW,10,1302.72
TeawxQVKn8IKZLs0UjoW,11,1443.51
TeawxQVKn8IKZLs0UjoW,12,1648.78
TeawxQVKn8IKZLs0UjoW,13,1111.85
TeawxQVKn8IKZLs0UjoW,14,1540.69
TeawxQVKn8IKZLs0UjoW,15,1515.2
TeawxQVKn8IKZLs0UjoW,16,1183.38
TeawxQVKn8IKZLs0UjoW,17,1513.54
TeawxQVKn8IKZLs0UjoW,18,784.26
TeawxQVKn8IKZLs0UjoW,19,409.6
TeawxQVKn8IKZLs0UjoW,20,258.18
TeawxQVKn8IKZLs0UjoW,21,198.38
TeawxQVKn8IKZLs0UjoW,22,218.94
TeawxQVKn8IKZLs0UjoW,23,48.97
VmxG8sZ3CXzdnUljnPPC,0,14.8
VmxG8sZ3CXzdnUljnPPC,1,10.75
VmxG8sZ3CXzdnUljnPPC,2,10.14
VmxG8sZ3CXzdnUljnPPC,3,6.91
VmxG8sZ3CXzdnUljnPPC,4,114.94
VmxG8sZ3CXzdnUljnPPC,5,3109.63
VmxG8sZ3CXzdnUljnPPC,6,3728.63
VmxG8sZ3CXzdnUljnPPC,7,2203.25
VmxG8sZ3CXzdnUljnPPC,8,1011.8
VmxG8sZ3CXzdnUljnPPC,9,449.18
VmxG8sZ3CXzdnUljnPPC,10,462.0
VmxG8sZ3CXzdnUljnPPC,11,474.8
VmxG8sZ3CXzdnUljnPPC,12,617.31
VmxG8sZ3CXzdnUljnPPC,13,463.89
VmxG8sZ3CXzdnUljnPPC,14,570.86
VmxG8sZ3CXzdnUljnPPC,15,572.52
VmxG8sZ3CXzdnUljnPPC,16,660.98
VmxG8sZ3CXzdnUljnPPC,17,663.09
VmxG8sZ3CXzdnUljnPPC,18,764.0
VmxG8sZ3CXzdnUljnPPC,19,692.75
VmxG8sZ3CXzdnUljnPPC,20,474.26
VmxG8sZ3CXzdnUljnPPC,21,425.32
VmxG8sZ3CXzdnUljnPPC,22,48.35
VmxG8sZ3CXzdnUljnPPC,23,31.31
VsVGqSabr41jktvT6gLN,0,149.02
VsVGqSabr41jktvT6gLN,1,154.17
VsVGqSabr41jktvT6gLN,2,127.4
VsVGqSabr41jktvT6gLN,3,131.75
VsVGqSabr41jktvT6gLN,4,98.55
VsVGqSabr41jktvT6gLN,5,112.49
VsVGqSabr41jktvT6gLN,6,101.32
VsVGqSabr41jktvT6gLN,7,145.51
VsVGqSabr41jktvT6gLN,8,323.35
VsVGqSabr41jktvT6gLN,9,607.12
VsVGqSabr41jktvT6gLN,10,663.46
VsVGqSabr41jktvT6gLN,11,601.78
VsVGqSabr41jktvT6gLN,12,567.05
VsVGqSabr41jktvT6gLN,13,563.43
VsVGqSabr41jktvT6gLN,14,575.34
VsVGqSabr41jktvT6gLN,15,543.05
VsVGqSabr41jktvT6gLN,16,557.46
VsVGqSabr41jktvT6gLN,17,435.0
VsVGqSabr41jktvT6gLN,18,565.43
VsVGqSabr41jktvT6gLN,19,380.0
VsVGqSabr41jktvT6gLN,20,406.0
VsVGqSabr41jktvT6gLN,21,249.68
VsVGqSabr41jktvT6gLN,22,290.83
VsVGqSabr41jktvT6gLN,23,222.95
XrpORwShj6Qit9Aq4hS1,0,247.51
XrpORwShj6Qit9Aq4hS1,1,45.32
XrpORwShj6Qit9Aq4hS1,2,23.52
XrpORwShj6Qit9Aq4hS1,3,6.26
XrpORwShj6Qit9Aq4hS1,4,4.88
XrpORwShj6Qit9Aq4hS1,5,7.05
XrpORwShj6Qit9Aq4hS1,6,22.06
XrpORwShj6Qit9Aq4hS1,7,175.58
XrpORwShj6Qit9Aq4hS1,8,618.06
XrpORwShj6Qit9Aq4hS1,9,973.26
